Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
APPLIED ECONOMICS LETTERS,APPL ECON LETT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1350-4851,1466-4291,ECONOMICS,SSCI,1.4,337/626
Biomedical Human Kinetics,BIOMED HUM KINET,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,0043-9630,2080-2234,HEALTH CARE SCIENCES & SERVICES,ESCI,1.4,153/194
ECOLOGICAL PSYCHOLOGY,ECOL PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1040-7413,1532-6969,"PSYCHOLOGY, EXPERIMENTAL",SSCI,1.4,89/104
European Countryside,EUR COUNTRYS,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,1803-8417,1803-8417,GEOGRAPHY,ESCI,1.4,84/174
Health Education,HEALTH EDUC,EMERALD GROUP PUBLISHING LTD,0965-4283,1758-714X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,1.4,341/443
HORTTECHNOLOGY,HORTTECHNOLOGY,AMER SOC HORTICULTURAL SCIENCE,1063-0198,1943-7714,HORTICULTURE,SCIE,1.4,30/45
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,WILEY,0736-5748,1873-474X,Multiple,SCIE,1.4,34/39
JOURNAL OF INTERVENTIONAL CARDIOLOGY,J INTERV CARDIOL,WILEY,0896-4327,1540-8183,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,1.4,172/237
MYCOSCIENCE,MYCOSCIENCE,MYCOLOGICAL SOC JAPAN,1340-3540,1618-2545,MYCOLOGY,SCIE,1.4,28/33
NUCLEAR MEDICINE COMMUNICATIONS,NUCL MED COMMUN,LIPPINCOTT WILLIAMS & WILKINS,0143-3636,1473-5628,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,1.4,159/217
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,AM J MED GENET B,WILEY,1552-4841,1552-485X,Multiple,SCIE,1.4,158/192
Brazilian Journal of Cardiovascular Surgery,BRAZ J CARDIOV SURG,SOC BRASIL CIRURGIA CARDIOVASC,0102-7638,1678-9741,Multiple,SCIE,1.4,172/237
CCF Transactions on High Performance Computing,CCF T HIGH PERFORM C,SPRINGERNATURE,2524-4922,2524-4930,Multiple,ESCI,1.4,53/60
Communicable Diseases Intelligence,COMMUN DIS INTELL,"AUSTRALIAN GOVERNMENT, DEPT HEALTH & AGEING",N/A,2209-6051,INFECTIOUS DISEASES,ESCI,1.4,113/141
GENE EXPRESSION PATTERNS,GENE EXPR PATTERNS,ELSEVIER,1567-133X,1872-7298,Multiple,SCIE,1.4,34/39
Health Information and Libraries Journal,HEALTH INFO LIBR J,WILEY,1471-1834,1471-1842,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,1.4,90/172
INFORMATION AND COMPUTATION,INFORM COMPUT,ACADEMIC PRESS INC ELSEVIER SCIENCE,0890-5401,1090-2651,Multiple,SCIE,1.4,88/146
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,WORLD SCIENTIFIC PUBL CO PTE LTD,0217-751X,1793-656X,Multiple,SCIE,1.4,17/22
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,J COMPUT ASSIST TOMO,LIPPINCOTT WILLIAMS & WILKINS,0363-8715,1532-3145,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,1.4,159/217
Medical Science Monitor Basic Research,MED SCI MONIT BASIC,"INT SCIENTIFIC INFORMATION, INC",2325-4416,2325-4394,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,1.4,149/191
Stratigraphy,STRATIGRAPHY,MICRO PRESS,1547-139X,2331-656X,Multiple,SCIE,1.4,24/61
Acute Medicine & Surgery,ACUTE MED SURG,WILEY,2052-8817,2052-8817,"MEDICINE, GENERAL & INTERNAL",ESCI,1.4,152/336
JOURNAL OF FRESHWATER ECOLOGY,J FRESHWATER ECOL,TAYLOR & FRANCIS INC,0270-5060,2156-6941,Multiple,SCIE,1.4,154/205
Nordic Psychology,NORD PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1901-2276,1904-0016,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,1.4,132/222
POLAR BIOLOGY,POLAR BIOL,SPRINGER,0722-4060,1432-2056,Multiple,SCIE,1.4,53/77
Tourism Analysis,TOUR ANAL,COGNIZANT COMMUNICATION CORP,1083-5423,1943-3999,"HOSPITALITY, LEISURE, SPORT & TOURISM",ESCI,1.4,93/141
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,ADV LAB MED,WALTER DE GRUYTER GMBH,N/A,2628-491X,MEDICAL LABORATORY TECHNOLOGY,ESCI,1.4,23/33
Autex Research Journal,AUTEX RES J,WALTER DE GRUYTER GMBH,1470-9589,2300-0929,"MATERIALS SCIENCE, TEXTILES",SCIE,1.4,18/31
Econometrics,ECONOMETRICS,MDPI,N/A,2225-1146,ECONOMICS,ESCI,1.4,337/626
FOLIA GEOBOTANICA,FOLIA GEOBOT,SPRINGER,1211-9520,1874-9348,PLANT SCIENCES,SCIE,1.4,188/285
GEO-MARINE LETTERS,GEO-MAR LETT,SPRINGER,0276-0460,1432-1157,Multiple,SCIE,1.4,191/259
Geohumanities,GEOHUMANITIES,TAYLOR & FRANCIS LTD,2373-566X,2373-5678,GEOGRAPHY,ESCI,1.4,84/174
Journal of Evidence-Based Psychotherapies,J EVID-BASED PSYCHOT,INT INST ADVANCED STUDIES PSYCHOTHERAPY & APPLIED MENTAL HEALTH,2360-0853,N/A,"PSYCHOLOGY, CLINICAL",SSCI,1.4,127/184
Journal of Industrial and Management Optimization,J IND MANAG OPTIM,AMER INST MATHEMATICAL SCIENCES-AIMS,1547-5816,1553-166X,Multiple,SCIE,1.4,103/178
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,J OCCUP ENVIRON HYG,TAYLOR & FRANCIS INC,1545-9624,1545-9632,Multiple,SCIE,1.4,353/395
Renal Replacement Therapy,RENAL REPLACE THER,BMC,N/A,2059-1381,UROLOGY & NEPHROLOGY,ESCI,1.4,93/134
REVISTA IBEROAMERICANA DE MICOLOGIA,REV IBEROAM MICOL,ASOCIACION ESPANOLA MICOLOGIA-AEM,1130-1406,N/A,MYCOLOGY,SCIE,1.4,28/33
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0040-5809,1096-0325,Multiple,SCIE,1.4,154/205
COMMUNITY DEVELOPMENT JOURNAL,COMMUNITY DEV J,OXFORD UNIV PRESS,0010-3802,1468-2656,DEVELOPMENT STUDIES,SSCI,1.4,48/66
Horticulture Journal,HORTICULT J,JAPAN SOC HORTICULTURAL SCI,2189-0102,2189-0110,HORTICULTURE,SCIE,1.4,30/45
INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,INT J TURBO JET ENG,WALTER DE GRUYTER GMBH,0334-0082,2191-0332,"ENGINEERING, AEROSPACE",SCIE,1.4,41/59
JOURNAL OF COMPUTATIONAL NEUROSCIENCE,J COMPUT NEUROSCI,SPRINGER,0929-5313,1573-6873,Multiple,SCIE,1.4,55/67
JOURNAL OF VECTOR BORNE DISEASES,J VECTOR DIS,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0972-9062,0972-9062,Multiple,SCIE,1.4,113/141
Molecular Cytogenetics,MOL CYTOGENET,BMC,N/A,1755-8166,GENETICS & HEREDITY,SCIE,1.4,158/192
Open Engineering,OPEN ENG,DE GRUYTER POLAND SP Z O O,2391-5439,2391-5439,"ENGINEERING, MULTIDISCIPLINARY",ESCI,1.4,103/178
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology,SCAND J CHILD ADOLES,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,2245-8875,2245-8875,PSYCHIATRY,ESCI,1.4,230/293
Veterinaria Italiana,VET ITAL,IST ZOOPROFILATTICO SPERIMENTALE ABRUZZO & MOLISE G CAPORALE-IZS A&M,0505-401X,1828-1427,VETERINARY SCIENCES,SCIE,1.4,91/170
AFRICAN JOURNAL OF ECOLOGY,AFR J ECOL,WILEY,0141-6707,1365-2028,ECOLOGY,SCIE,1.4,154/205
Asia-Pacific Journal of Financial Studies,ASIA-PAC J FINANC ST,WILEY,2041-9945,2041-6156,"BUSINESS, FINANCE",SSCI,1.4,157/243
Baghdad Science Journal,BAGHDAD SCI J,"COLL SCIENCE WOMEN, UNIV BAGHDAD",2078-8665,2411-7986,MULTIDISCIPLINARY SCIENCES,ESCI,1.4,74/140
Computer Science and Information Systems,COMPUT SCI INF SYST,COMSIS CONSORTIUM,1820-0214,2406-1018,Multiple,SCIE,1.4,206/266
European Journal of Applied Linguistics,EUR J APPL LINGUIST,WALTER DE GRUYTER GMBH,2192-9521,2192-953X,LINGUISTICS,ESCI,1.4,121/312
Evolutionary Psychology,EVOL PSYCHOL-US,SAGE PUBLICATIONS INC,1474-7049,1474-7049,"PSYCHOLOGY, EXPERIMENTAL",SSCI,1.4,89/104
Fatigue-Biomedicine Health and Behavior,FATIGUE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2164-1846,2164-1862,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,1.4,149/191
FLY,FLY,TAYLOR & FRANCIS INC,1933-6934,1933-6942,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,1.4,303/328
Innovations in Systems and Software Engineering,INNOV SYST SOFTW ENG,SPRINGER LONDON LTD,1614-5046,1614-5054,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ESCI,1.4,100/128
International Heart Journal,INT HEART J,INT HEART JOURNAL ASSOC,1349-2365,1349-3299,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,1.4,172/237
MOLECULAR AND BIOCHEMICAL PARASITOLOGY,MOL BIOCHEM PARASIT,ELSEVIER,0166-6851,1872-9428,Multiple,SCIE,1.4,303/328
Records Management Journal,REC MANAG J,EMERALD GROUP PUBLISHING LTD,0956-5698,1758-7689,INFORMATION SCIENCE & LIBRARY SCIENCE,ESCI,1.4,90/172
SEMINARS IN MUSCULOSKELETAL RADIOLOGY,SEMIN MUSCULOSKEL R,THIEME MEDICAL PUBL INC,1089-7860,1098-898X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,1.4,159/217
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,STOCKHOLM UNIV PRESS,N/A,1600-0870,Multiple,SCIE,1.4,102/114
Turkish Journal Of Medical Sciences,TURK J MED SCI,Tubitak Scientific & Technological Research Council Turkey,1300-0144,1303-6165,"MEDICINE, GENERAL & INTERNAL",SCIE,1.4,152/336
Biophysics and Physicobiology,BIOPHYS PHYSICOBIOL,BIOPHYSICAL SOC JAPAN,N/A,2189-4779,BIOPHYSICS,ESCI,1.4,70/81
Bratislava Medical Journal,BRATISL MED J,SPRINGERNATURE,0006-9248,1336-0345,"MEDICINE, GENERAL & INTERNAL",SCIE,1.4,152/336
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,CHINESE J GEOPHYS-CH,SCIENCE PRESS,0001-5733,0001-5733,GEOCHEMISTRY & GEOPHYSICS,SCIE,1.4,67/103
CULTURE & PSYCHOLOGY,CULT PSYCHOL,SAGE PUBLICATIONS LTD,1354-067X,1461-7056,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,1.4,132/222
Frontiers in Language Sciences,FRONT LANG SCI,FRONTIERS MEDIA SA,N/A,2813-4605,Multiple,ESCI,1.4,121/312
IET Software,IET SOFTW,WILEY,1751-8806,1751-8814,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.4,100/128
Journal of Social and Economic Development,J SOCIAL EC DEV,SPRINGER INDIA,0972-5792,2199-6873,Multiple,ESCI,1.4,48/66
Near Surface Geophysics,NEAR SURF GEOPHYS,WILEY,1569-4445,1873-0604,GEOCHEMISTRY & GEOPHYSICS,SCIE,1.4,67/103
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,ORIGINS LIFE EVOL B,SPRINGER,0169-6149,1573-0875,BIOLOGY,SCIE,1.4,68/106
PSYCHIATRIC GENETICS,PSYCHIAT GENET,LIPPINCOTT WILLIAMS & WILKINS,0955-8829,1473-5873,Multiple,SCIE,1.4,158/192
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SAMJ S AFR MED J,SA MEDICAL ASSOC,0256-9574,2078-5135,"MEDICINE, GENERAL & INTERNAL",SCIE,1.4,152/336
SCANDINAVIAN CARDIOVASCULAR JOURNAL,SCAND CARDIOVASC J,TAYLOR & FRANCIS LTD,1401-7431,1651-2006,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,1.4,172/237
STAR Protocols,STAR PROTOC,CELL PRESS,2666-1667,2666-1667,BIOCHEMICAL RESEARCH METHODS,ESCI,1.4,79/85
Tourism Review International,TOUR REV INT,COGNIZANT COMMUNICATION CORP,1544-2721,1943-4421,"HOSPITALITY, LEISURE, SPORT & TOURISM",ESCI,1.4,93/141
Urology Research and Practice,UROL RES PRACT,AVES,N/A,2980-1478,UROLOGY & NEPHROLOGY,ESCI,1.4,93/134
Acta Geochimica,ACTA GEOCHIM,SPRINGER INT PUBL AG,2096-0956,2365-7499,GEOCHEMISTRY & GEOPHYSICS,ESCI,1.4,67/103
CHEMOTHERAPY,CHEMOTHERAPY,KARGER,0009-3157,1421-9794,Multiple,SCIE,1.4,287/333
Clinical and Translational Imaging,CLIN TRANSL IMAGING,SPRINGER-VERLAG ITALIA SRL,2281-5872,2281-7565,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,1.4,159/217
Decision Analysis,DECIS ANAL,INFORMS,1545-8490,1545-8504,MANAGEMENT,SSCI,1.4,325/426
Electrical Engineering & Electromechanics,ELECTR ENG ELECTROME,"NATL TECHNICAL UNIV, KHARKIV POLYTECHNICAL INST",2074-272X,2309-3404,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,1.4,294/369
HIGH PRESSURE RESEARCH,HIGH PRESSURE RES,TAYLOR & FRANCIS LTD,0895-7959,1477-2299,"PHYSICS, MULTIDISCIPLINARY",SCIE,1.4,65/112
International Journal of Reliability Quality and Safety Engineering,INT J RELIAB QUAL SA,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-5393,1793-6446,"ENGINEERING, MULTIDISCIPLINARY",ESCI,1.4,103/178
JOURNAL OF FIRE SCIENCES,J FIRE SCI,SAGE PUBLICATIONS LTD,0734-9041,1530-8049,Multiple,SCIE,1.4,103/178
Optoelectronics Letters,OPTOELECTRON LETT,TIANJIN UNIV TECHNOLOGY,1673-1905,1993-5013,OPTICS,ESCI,1.4,99/129
Qualitative Research in Organizations and Management,QUAL RES ORGAN MANAG,EMERALD GROUP PUBLISHING LTD,1746-5648,1746-5656,MANAGEMENT,ESCI,1.4,325/426
BIOMECHANICS,BIOMECHANICS-BASEL,MDPI,N/A,2673-7078,Multiple,ESCI,1.4,70/81
Botany,BOTANY,CANADIAN SCIENCE PUBLISHING,1916-2790,1916-2804,PLANT SCIENCES,SCIE,1.4,188/285
CHEMOECOLOGY,CHEMOECOLOGY,SPRINGER BASEL AG,0937-7409,1423-0445,Multiple,SCIE,1.4,303/328
GeroPsych-The Journal of Gerontopsychology and Geriatric Psychiatry,GEROPSYCH,HOGREFE AG-HOGREFE AG SUISSE,1662-9647,1662-971X,"PSYCHOLOGY, DEVELOPMENTAL",ESCI,1.4,77/95
International Journal of Advances in Engineering Sciences and Applied Mathematics,INT J ADV ENG SCI AP,SPRINGER INDIA,0975-0770,0975-5616,"ENGINEERING, MULTIDISCIPLINARY",ESCI,1.4,103/178
Journal of Geosciences,J GEOSCI-CZECH,CESKA GEOLOGICKA SPOLECNOST,1802-6222,1803-1943,Multiple,SCIE,1.4,67/103
Journal of Seed Science,J SEED SCI,ABRATES-ASSOC BRASILEIRA TECHNOLOGIA SEMENTES,2317-1537,2317-1545,AGRONOMY,SCIE,1.4,81/133
NUCLEUS-INDIA,NUCLEUS CALCUTTA,SPRINGER INDIA,0029-568X,0976-7975,CELL BIOLOGY,ESCI,1.4,199/207
Problemy Ekorozwoju,PROBL EKOROZW,POLITECHNIKA LUBELSKA,1895-6912,2080-1971,ENVIRONMENTAL STUDIES,SSCI,1.4,167/202
Theoretical Ecology,THEOR ECOL-NETH,SPRINGER HEIDELBERG,1874-1738,1874-1746,ECOLOGY,SCIE,1.4,154/205
Advances in Integrative Medicine,ADV INTEGR MED,ELSEVIER,2212-9588,2212-9596,INTEGRATIVE & COMPLEMENTARY MEDICINE,ESCI,1.4,32/48
ANNALS OF THE MISSOURI BOTANICAL GARDEN,ANN MO BOT GARD,MISSOURI BOTANICAL GARDEN,0026-6493,2162-4372,PLANT SCIENCES,SCIE,1.4,188/285
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,BIOTECHNOL BIOTEC EQ,TAYLOR & FRANCIS LTD,1310-2818,1314-3530,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,1.4,160/180
Egyptian Heart Journal,EGYPT HEART J,SPRINGER,1110-2608,2090-911X,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1.4,172/237
International Journal of One Health,INT J ONE HEALTH,VETERINARY WORLD,2455-5673,2455-8931,Multiple,ESCI,1.4,113/141
Journal of Agricultural Extension,J AGRIC EXT,AGRICULTURAL EXTENSION SOC NIGERIA,1119-944X,2408-6851,AGRONOMY,ESCI,1.4,81/133
Journal of Instrumentation,J INSTRUM,IOP Publishing Ltd,N/A,1748-0221,INSTRUMENTS & INSTRUMENTATION,SCIE,1.4,61/81
Journal of Transportation Security,J TRANSP SECUR,SPRINGER,1938-7741,1938-775X,TRANSPORTATION,ESCI,1.4,56/66
Mechanical Sciences,MECH SCI,COPERNICUS GESELLSCHAFT MBH,2191-9151,2191-916X,"ENGINEERING, MECHANICAL",SCIE,1.4,140/184
PEDIATRIC HEMATOLOGY AND ONCOLOGY,PEDIATR HEMAT ONCOL,TAYLOR & FRANCIS INC,0888-0018,1521-0669,Multiple,SCIE,1.4,78/103
Records of Natural Products,REC NAT PROD,ACG PUBLICATIONS,1307-6167,1307-6167,Multiple,SCIE,1.4,62/77
Transformations in Business & Economics,TRANSFORM BUS ECON,VILNIUS UNIV PRESS,1648-4460,N/A,Multiple,SSCI,1.4,242/323
Advances in Traditional Medicine,ADV TRADIT MED,SPRINGER,2662-4052,2662-4060,PHARMACOLOGY & PHARMACY,ESCI,1.4,295/356
Anthropology & Aging,ANTHROPOL AGING,"UNIV PITTSBURGH, UNIV LIBRARY SYSTEM",2374-2267,2374-2267,GERONTOLOGY,ESCI,1.4,34/49
Australasian Journal of Information Systems,AUSTRALAS J INF SYST,"UNIV CANBERRA, FAC INFORMATION SCIENCES & ENGINEERING",1449-8618,1326-2238,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,1.4,206/266
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,CHINESE J ANAL CHEM,SCIENCE PRESS,0253-3820,0253-3820,"CHEMISTRY, ANALYTICAL",SCIE,1.4,92/110
Health Scope,HEALTH SCOPE,BRIEFLANDS,2251-8959,2251-9513,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,1.4,341/443
International Journal of Protective Structures,INT J PROT STRUCT,SAGE PUBLICATIONS LTD,2041-4196,2041-420X,"ENGINEERING, CIVIL",ESCI,1.4,136/193
JOURNAL OF GENERAL PLANT PATHOLOGY,J GEN PLANT PATHOL,SPRINGER JAPAN KK,1345-2630,1610-739X,PLANT SCIENCES,SCIE,1.4,188/285
Journal of Hospital Management and Health Policy,J HOSP MANAG HLTH P,AME PUBLISHING COMPANY,2523-2533,2523-2533,HEALTH CARE SCIENCES & SERVICES,ESCI,1.4,153/194
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,J THERMOPHYS HEAT TR,AMER INST AERONAUTICS ASTRONAUTICS,0887-8722,1533-6808,Multiple,SCIE,1.4,140/184
Scientific Papers of the University of Pardubice-Series D-Faculty of Economics and Administration,SCI PAP U PARD-SER D,"Univ Pardubice, Fac Economics Adm",1211-555X,1804-8048,Multiple,ESCI,1.4,242/323
Accounting Historians Journal,ACCOUNT HIST J,AMER ACCOUNTING ASSOC,0148-4184,2327-4468,"BUSINESS, FINANCE",ESCI,1.4,157/243
Acta Technologica Agriculturae,ACTA TECHNOL AGR,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,N/A,1338-5267,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,1.4,48/95
American Journal of Cardiovascular Disease,AM J CARDIOVASC DIS,E-CENTURY PUBLISHING CORP,2160-200X,2160-200X,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1.4,172/237
BIOTECHNIC & HISTOCHEMISTRY,BIOTECH HISTOCHEM,TAYLOR & FRANCIS LTD,1052-0295,1473-7760,Multiple,SCIE,1.4,160/180
Chinese Journal of Chromatography,CHIN J CHROMATOGR,SCIENCE PRESS,1000-8713,1000-8713,"CHEMISTRY, ANALYTICAL",ESCI,1.4,92/110
ECONOMIC DEVELOPMENT QUARTERLY,ECON DEV Q,SAGE PUBLICATIONS INC,0891-2424,1552-3543,Multiple,SSCI,1.4,48/66
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,GEOPHYS ASTRO FLUID,TAYLOR & FRANCIS LTD,0309-1929,1029-0419,Multiple,SCIE,1.4,61/86
IEEE Letters on Electromagnetic Compatibility Practice and Applications,IEEE LETT ELECTROMAG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,2637-6423,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,1.4,294/369
IET Signal Processing,IET SIGNAL PROCESS,WILEY,1751-9675,1751-9683,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,1.4,294/369
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,INT J CIRC THEOR APP,WILEY,0098-9886,1097-007X,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,1.4,294/369
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-0000,1090-2724,Multiple,SCIE,1.4,53/60
Journal of Transport and Supply Chain Management,J TRANSP SUPPLY CHAI,AOSIS,2310-8789,1995-5235,MANAGEMENT,ESCI,1.4,325/426
KYBERNETIKA,KYBERNETIKA,KYBERNETIKA,0023-5954,N/A,"COMPUTER SCIENCE, CYBERNETICS",SCIE,1.4,29/34
Online Journal of Public Health Informatics,ONLINE J PUBLIC HLTH,"JMIR PUBLICATIONS, INC",N/A,1947-2579,Multiple,ESCI,1.4,153/194
Periodico di Mineralogia,PERIOD MINERAL,SAPIENZA UNIV EDITRICE,0369-8963,2239-1002,Multiple,SCIE,1.4,67/103
Plant Biotechnology,PLANT BIOTECHNOL-NAR,JAPANESE SOC PLANT CELL & MOLECULAR BIOLOGY,1342-4580,N/A,Multiple,SCIE,1.4,160/180
African Journal of Laboratory Medicine,AFR J LAB MED,AOSIS,2225-2002,2225-2010,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,1.4,149/191
International Journal of Innovation Management,INT J INNOV MANAG,WORLD SCIENTIFIC PUBL CO PTE LTD,1363-9196,1757-5877,MANAGEMENT,ESCI,1.4,325/426
Journal of Clinical and Experimental Hematopathology,J CLIN EXP HEMATOP,JAPANESE SOC LYMPHORETICULAR TISSUE RESEARCH,1346-4280,1880-9952,HEMATOLOGY,ESCI,1.4,78/103
Journal of Data Information and Management,J DATA INFO MANAG,SPRINGERNATURE,2524-6356,2524-6364,Multiple,ESCI,1.4,242/323
Journal of Nonprofit & Public Sector Marketing,J NONPROFIT PUBLIC S,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1049-5142,1540-6997,BUSINESS,ESCI,1.4,242/323
Journal of the Association of Medical Microbiology and Infectious Disease Canada (JAMMI),JAMMI-J ASSOC MED M,UNIV TORONTO PRESS INC,N/A,2371-0888,Multiple,ESCI,1.4,113/141
JOURNAL OF TROPICAL ECOLOGY,J TROP ECOL,CAMBRIDGE UNIV PRESS,0266-4674,1469-7831,ECOLOGY,SCIE,1.4,154/205
Molecular & Cellular Toxicology,MOL CELL TOXICOL,KOREAN SOCIETY TOXICOGENOMICS & TOXICOPROTEOMICS-KSTT,1738-642X,2092-8467,TOXICOLOGY,SCIE,1.4,99/106
NUTRITION AND HEALTH,NUTR HEALTH-UK,SAGE PUBLICATIONS INC,0260-1060,2047-945X,NUTRITION & DIETETICS,ESCI,1.4,96/114
Renewable Energy Research and Applications,RENEW ENERG RES APPL,SHAHROOD UNIV TECHNOLOGY,2717-252X,2676-7430,Multiple,ESCI,1.4,170/191
TRANSPORTATION JOURNAL,TRANSPORT J,WILEY,0041-1612,2157-328X,Multiple,SSCI,1.4,325/426
Zoonotic Diseases,ZOONOTIC DIS-BASEL,MDPI,N/A,2813-0227,INFECTIOUS DISEASES,ESCI,1.4,113/141
All Life,ALL LIFE,TAYLOR & FRANCIS LTD,2689-5293,2689-5307,MULTIDISCIPLINARY SCIENCES,SCIE,1.4,74/140
CALIFORNIA AGRICULTURE,CALIF AGR,"UNIV CALIFORNIA, OAKLAND, DIVISION AGRICULTURE & NATURAL RESOURCES",0008-0845,2160-8091,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,1.4,48/95
Clinical and Experimental Vaccine Research,CLIN EXP VACCINE RES,KOREAN VACCINE SOC,2287-3651,2287-366X,IMMUNOLOGY,ESCI,1.4,166/183
Foundations and Trends in Systems and Control,FOUND TRENDS SYST CO,NOW PUBLISHERS INC,2325-6818,2325-6826,AUTOMATION & CONTROL SYSTEMS,ESCI,1.4,67/88
GENES TO CELLS,GENES CELLS,WILEY,1356-9597,1365-2443,Multiple,SCIE,1.4,199/207
IETE JOURNAL OF RESEARCH,IETE J RES,TAYLOR & FRANCIS LTD,0377-2063,0974-780X,Multiple,SCIE,1.4,294/369
International Journal of Geotechnical Engineering,INT J GEOTECH ENG,TAYLOR & FRANCIS LTD,1938-6362,1939-7879,"ENGINEERING, GEOLOGICAL",ESCI,1.4,50/68
Journal of the Saudi Heart Association,J SAUDI HEART ASSOC,DIGITAL COMMONS BEPRESS,1016-7315,2212-5043,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1.4,172/237
Journal of Water Management Modeling,J WATER MANAG MODELL,COMPUTATIONAL HYDRAULICS INT,2292-6062,2292-6062,WATER RESOURCES,ESCI,1.4,110/132
MAPAN-Journal of Metrology Society of India,MAPAN-J METROL SOC I,METROLOGY SOC INDIA,0970-3950,0974-9853,Multiple,SCIE,1.4,61/81
Oncology Research and Treatment,ONCOL RES TREAT,KARGER,2296-5270,2296-5262,ONCOLOGY,SCIE,1.4,287/333
ACTA CLINICA BELGICA,ACTA CLIN BELG,TAYLOR & FRANCIS LTD,1784-3286,2295-3337,"MEDICINE, GENERAL & INTERNAL",SCIE,1.4,152/336
Australian Journal of Emergency Management,AUST J EMERG MANAG,AUSTRALIAN EMERGENCY MANAGEMENT INST,1324-1540,1324-1540,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,1.4,341/443
